Name,school_year,AVG(DefianceOnly)
ACORN Woodland Elementary,2014-15,0.0
ACORN Woodland Elementary,2015-16,0.0
ACORN Woodland Elementary,2016-17,0.0
ACORN Woodland Elementary,2017-18,0.0
ACORN Woodland Elementary,2018-19,0.0
ARISE High,2014-15,0.0
ARISE High,2015-16,6.0
ARISE High,2016-17,1.0
ARISE High,2017-18,8.0
ARISE High,2018-19,2.0
Achieve Academy,2014-15,0.0
Achieve Academy,2015-16,8.0
Achieve Academy,2016-17,8.0
Achieve Academy,2017-18,0.0
Achieve Academy,2018-19,1.0
Allendale Elementary,2014-15,0.0
Allendale Elementary,2015-16,0.0
Allendale Elementary,2016-17,0.0
Allendale Elementary,2017-18,1.0
Allendale Elementary,2018-19,0.0
Alliance Academy,2014-15,31.0
Alliance Academy,2015-16,22.0
Alliance Academy,2016-17,1.0
Alliance Academy,2017-18,0.0
Alliance Academy,2018-19,4.0
American Indian Public Charter,2014-15,0.0
American Indian Public Charter,2016-17,0.0
American Indian Public Charter,2017-18,1.0
American Indian Public Charter,2018-19,0.0
American Indian Public Charter II,2017-18,4.0
American Indian Public Charter II,2018-19,4.0
American Indian Public High,2014-15,0.0
American Indian Public High,2015-16,0.0
American Indian Public High,2016-17,13.0
American Indian Public High,2017-18,9.0
American Indian Public High,2018-19,9.0
Aspire Berkley Maynard Academy,2014-15,12.0
Aspire Berkley Maynard Academy,2015-16,1.0
Aspire Berkley Maynard Academy,2016-17,8.0
Aspire Berkley Maynard Academy,2017-18,13.0
Aspire Berkley Maynard Academy,2018-19,4.0
Aspire College Academy,2014-15,3.0
Aspire College Academy,2015-16,4.0
Aspire College Academy,2016-17,1.0
Aspire College Academy,2017-18,1.0
Aspire College Academy,2018-19,0.0
Aspire ERES Academy,2014-15,12.0
Aspire ERES Academy,2015-16,7.0
Aspire ERES Academy,2016-17,6.0
Aspire ERES Academy,2017-18,2.0
Aspire ERES Academy,2018-19,1.0
Aspire Golden State College Preparatory Academy,2014-15,75.0
Aspire Golden State College Preparatory Academy,2015-16,41.0
Aspire Golden State College Preparatory Academy,2016-17,63.0
Aspire Golden State College Preparatory Academy,2017-18,6.0
Aspire Golden State College Preparatory Academy,2018-19,5.0
Aspire Lionel Wilson College Preparatory Academy,2014-15,26.0
Aspire Lionel Wilson College Preparatory Academy,2015-16,3.0
Aspire Lionel Wilson College Preparatory Academy,2016-17,6.0
Aspire Lionel Wilson College Preparatory Academy,2017-18,5.0
Aspire Lionel Wilson College Preparatory Academy,2018-19,4.0
Aspire Monarch Academy,2014-15,2.0
Aspire Monarch Academy,2015-16,6.0
Aspire Monarch Academy,2016-17,6.0
Aspire Monarch Academy,2017-18,2.0
Aspire Monarch Academy,2018-19,0.0
Aspire Triumph Technology Academy,2014-15,64.0
Aspire Triumph Technology Academy,2015-16,8.0
Aspire Triumph Technology Academy,2016-17,3.0
Aspire Triumph Technology Academy,2017-18,0.0
Aspire Triumph Technology Academy,2018-19,4.0
Bay Area Technology,2014-15,1.0
Bay Area Technology,2015-16,0.0
Bay Area Technology,2016-17,0.0
Bay Area Technology,2018-19,7.0
Bella Vista Elementary,2014-15,1.0
Bella Vista Elementary,2015-16,0.0
Bella Vista Elementary,2016-17,0.0
Bella Vista Elementary,2017-18,0.0
Bella Vista Elementary,2018-19,0.0
Bret Harte Middle,2014-15,27.0
Bret Harte Middle,2015-16,6.0
Bret Harte Middle,2016-17,0.0
Bret Harte Middle,2017-18,0.0
Bret Harte Middle,2018-19,1.0
Bridges Academy,2014-15,0.0
Bridges Academy,2015-16,0.0
Bridges Academy,2016-17,0.0
Bridges Academy,2017-18,0.0
Bridges Academy,2018-19,0.0
Brookfield Elementary,2014-15,1.0
Brookfield Elementary,2015-16,0.0
Brookfield Elementary,2016-17,2.0
Brookfield Elementary,2017-18,0.0
Brookfield Elementary,2018-19,0.0
Burckhalter Elementary,2014-15,0.0
Burckhalter Elementary,2015-16,0.0
Burckhalter Elementary,2016-17,0.0
Burckhalter Elementary,2017-18,0.0
Burckhalter Elementary,2018-19,0.0
Carl B. Munck Elementary,2014-15,0.0
