filename,name,add_oakland,search_term,type,grades,Address,Latitude,Longitude,Accuracy Score,Accuracy Type,Number,Street,Unit Type,Unit Number,City,State,County,Zip,Country,Source
Achieve+Academy--Oakland+Unified--0161259-0111476.csv,Achieve Academy, oakland,Achieve Academy oakland,charter,TK-5,"1700 28th Ave, Oakland, CA 94601, USA",37.782342,-122.226161,1,rooftop,1700,28th Ave,,,Oakland,CA,Alameda County,94601,US,Alameda
ACORN+Woodland+Eleme--Oakland+Unified--0161259-6002273.csv,ACORN Woodland Elementary, oakland,ACORN Woodland Elementary oakland,public,K-5,"1025 81st Ave, Oakland, CA 94621, USA",37.753182,-122.185778,1,range_interpolation,1025,81st Ave,,,Oakland,CA,Alameda County,94621,US,TIGER/Line® dataset from the US Census Bureau
Allendale+Elementary--Oakland+Unified--0161259-6001630.csv,Allendale Elementary, oakland,Allendale Elementary oakland,public,K-5,"3670 Penniman Ave, Oakland, CA 94619, USA",37.788656,-122.205092,1,range_interpolation,3670,Penniman Ave,,,Oakland,CA,Alameda County,94619,US,TIGER/Line® dataset from the US Census Bureau
Alliance+Academy--Oakland+Unified--0161259-0112771.csv,Alliance Academy, oakland,Alliance Academy oakland,public,8-Jun,"1800 98th Ave, Oakland, CA 94603, USA",37.746049,-122.165175,1,rooftop,1800,98th Ave,,,Oakland,CA,Alameda County,94603,US,Alameda
American+Indian+Mode--Oakland+Unified--0161259-0114363.csv,American Indian Public Charter, oakland,American Indian Public Charter oakland,charter,8-May,"3637 Magee Ave, Oakland, CA 94619, USA",37.793458,-122.199683,1,range_interpolation,3637,Magee Ave,,,Oakland,CA,Alameda County,94619,US,TIGER/Line® dataset from the US Census Bureau
American+Indian+Publ--Oakland+Unified--0161259-6113807.csv,American Indian Public Charter II, oakland,American Indian Public Charter II oakland,charter,K-8,"171 12th St, Oakland, CA 94607, USA",37.800101,-122.265497,1,rooftop,171,12th St,,,Oakland,CA,Alameda County,94607,US,Alameda
American+Indian+Publ--Oakland+Unified--0161259-0111856.csv,American Indian Public High, oakland,American Indian Public High oakland,charter,12-Sep,"3637 Magee Ave, Oakland, CA 94619, USA",37.793458,-122.199683,1,range_interpolation,3637,Magee Ave,,,Oakland,CA,Alameda County,94619,US,TIGER/Line® dataset from the US Census Bureau
ARISE+High--Oakland+Unified--0161259-0115238.csv,ARISE High, oakland,ARISE High oakland,charter,12-Sep,"3301 E 12th St # 205, Oakland, CA 94601, USA",37.77567,-122.224682,1,rooftop,3301,E 12th St,Ste,205,Oakland,CA,Alameda County,94601,US,Alameda
ASCEND--Oakland+Unified--0161259-6118608.csv,Ascend Elementary, oakland,Ascend Elementary oakland,public,TK-8,"3709 E 12th St, Oakland, CA 94601, USA",37.773716,-122.221464,1,rooftop,3709,E 12th St,,,Oakland,CA,Alameda County,94601,US,Alameda
Aspire+Berkley+Mayna--Oakland+Unified--0161259-0109819.csv,Aspire Berkley Maynard Academy, oakland,Aspire Berkley Maynard Academy oakland,charter,K-8,"6200 San Pablo Ave, Oakland, CA 94608, USA",37.844916,-122.284699,0.7,nearest_rooftop_match,6211,San Pablo Ave,,,Emeryville,CA,Alameda County,94608,US,Alameda
Aspire+College+Acade--Oakland+Unified--0161259-0128413.csv,Aspire College Academy, oakland,Aspire College Academy oakland,charter,K-5,"8030 Atherton St, Oakland, CA 94605, USA",37.761558,-122.170949,1,range_interpolation,8030,Atherton St,,,Oakland,CA,Alameda County,94605,US,TIGER/Line® dataset from the US Census Bureau
Aspire+ERES+Academy--Oakland+Unified--0161259-0120188.csv,Aspire ERES Academy, oakland,Aspire ERES Academy oakland,charter,K-8,"1936 Courtland Ave, Oakland, CA 94601, USA",37.775569,-122.21229,1,range_interpolation,1936,Courtland Ave,,,Oakland,CA,Alameda County,94601,US,TIGER/Line® dataset from the US Census Bureau
Aspire+Golden+State--Oakland+Unified--0161259-0118224.csv,Aspire Golden State College Preparatory Academy, oakland,Aspire Golden State College Preparatory Academy oakland,charter,12-Jun,"1009 66th Ave, Oakland, CA 94621, USA",37.759694,-122.198867,1,rooftop,1009,66th Ave,,,Oakland,CA,Alameda County,94621,US,Alameda
Aspire+Lionel+Wilson--Oakland+Unified--0161259-0130666.csv,Aspire Lionel Wilson College Preparatory Academy, oakland,Aspire Lionel Wilson College Preparatory Academy oakland,charter,12-Jun,"400 105th Ave, Oakland, CA 94603, USA",37.729428,-122.179864,1,rooftop,400,105th Ave,,,Oakland,CA,Alameda County,94603,US,Alameda
