Name,Cumulative Enrollment,Total Suspensions,Suspension Rate,Violent Incident w/ Injury,Violent Incident w/ no injury,Weapons Possession,Illicit Drug Related ,Defiance Only,Other Reasons,school_year
Aspire Triumph Technology Academy,303,177,58.42%,2,152,1,0,8,14,2015-16
West Oakland Middle,234,86,36.75%,11,49,0,2,22,2,2015-16
Alliance Academy,412,151,36.65%,60,50,4,10,22,5,2015-16
Community Day High,40,13,32.50%,2,2,0,4,5,0,2015-16
McClymonds High,364,112,30.77%,32,51,0,5,16,8,2015-16
ROOTS International Academy,364,110,30.22%,16,85,0,4,4,1,2015-16
Frick Middle,226,67,29.65%,10,37,1,7,10,2,2015-16
Lafayette Elementary,266,63,23.68%,27,29,2,0,3,2,2015-16
Fremont High,891,211,23.68%,52,62,6,32,43,16,2015-16
Learning Without Limits,432,87,20.14%,0,70,0,1,13,3,2015-16
Urban Promise Academy,389,77,19.79%,21,16,9,28,1,2,2015-16
Aspire Golden State College Preparatory Academy,606,119,19.64%,7,42,4,22,41,3,2015-16
Westlake Middle,507,95,18.74%,32,38,3,4,11,7,2015-16
Montera Middle,873,163,18.67%,52,52,1,5,51,2,2015-16
Community Day Middle,11,2,18.18%,1,1,0,0,0,0,2015-16
Skyline High,"2,010",345,17.16%,49,85,10,62,121,18,2015-16
United for Success Academy,415,54,13.01%,5,30,5,6,3,5,2015-16
Parker Elementary,348,40,11.49%,10,15,0,1,12,2,2015-16
Bret Harte Middle,588,66,11.22%,39,15,0,4,6,2,2015-16
LPS Oakland R & D Campus,344,37,10.76%,7,6,0,12,10,2,2015-16
Claremont Middle,465,50,10.75%,2,26,3,5,8,6,2015-16
Epic Charter,319,33,10.34%,5,20,2,3,3,0,2015-16
Aspire Lionel Wilson College Preparatory Academy,555,51,9.19%,2,25,2,10,3,9,2015-16
ASCEND,452,41,9.07%,7,12,0,9,10,3,2015-16
Community United Elementary,421,38,9.03%,8,20,0,0,9,1,2015-16
Castlemont High,855,75,8.77%,20,34,0,4,16,1,2015-16
Aspire Monarch Academy,396,34,8.59%,11,16,0,0,6,1,2015-16
Roosevelt Middle,544,46,8.46%,27,13,2,3,0,1,2015-16
Oakland Unity High,338,27,7.99%,8,13,0,5,0,1,2015-16
Madison Park Academy TK-5,317,25,7.89%,18,6,0,0,1,0,2015-16
East Oakland Pride Elementary,476,37,7.77%,27,6,3,0,1,0,2015-16
Roses in Concrete,224,17,7.59%,0,14,0,0,1,2,2015-16
Lighthouse Community Charter,502,35,6.97%,24,11,0,0,0,0,2015-16
Think College Now,335,23,6.87%,16,7,0,0,0,0,2015-16
Conservatory of Vocal/Instrumental Arts High,44,3,6.82%,0,2,0,0,1,0,2015-16
Elmhurst Community Prep,423,27,6.38%,16,7,1,1,0,2,2015-16
Futures Elementary,363,23,6.34%,8,9,0,0,5,1,2015-16
Aspire College Academy,304,19,6.25%,0,14,0,0,4,1,2015-16
Rudsdale Continuation,254,15,5.91%,5,1,0,9,0,0,2015-16
Aspire ERES Academy,223,13,5.83%,1,4,1,0,7,0,2015-16
Oakland High,"1,720",99,5.76%,35,36,5,11,5,7,2015-16
Horace Mann Elementary,455,26,5.71%,17,5,1,0,2,1,2015-16
Oakland Charter Academy,195,11,5.64%,0,7,0,2,2,0,2015-16
Hoover Elementary,340,19,5.59%,16,2,0,0,0,1,2015-16
Oakland Charter High,408,22,5.39%,0,2,0,5,15,0,2015-16
Emerson Elementary,343,18,5.25%,2,14,2,0,0,0,2015-16
Oakland School for the Arts,758,38,5.01%,1,22,0,2,10,3,2015-16
Global Family,469,23,4.90%,8,14,1,0,0,0,2015-16
Sankofa Academy,388,19,4.90%,12,6,1,0,0,0,2015-16
Fruitvale Elementary,430,20,4.65%,9,9,0,0,1,1,2015-16
East Oakland Leadership Academy,154,7,4.55%,0,7,0,0,0,0,2015-16
KIPP Bridge Academy,331,15,4.53%,0,11,0,0,2,2,2015-16
ARISE High,272,12,4.41%,0,3,0,3,6,0,2015-16
Bridges Academy,505,22,4.36%,2,15,4,0,0,1,2015-16
Bay Area Technology,303,13,4.29%,0,11,0,0,0,2,2015-16
Oakland International High,450,19,4.22%,1,12,0,3,1,2,2015-16
Achieve Academy,781,32,4.10%,10,13,0,0,8,1,2015-16
Fred T. Korematsu Discovery Academy,467,19,4.07%,8,7,0,0,2,2,2015-16
Markham Elementary,452,18,3.98%,8,0,0,2,8,0,2015-16
Garfield Elementary,682,26,3.81%,0,22,0,3,0,1,2015-16
Madison Park Academy 6-12,712,27,3.79%,13,8,0,4,1,1,2015-16
LIFE Academy,487,17,3.49%,0,7,0,2,8,0,2015-16
Aspire Berkley Maynard Academy,556,18,3.24%,7,8,1,0,1,1,2015-16
Oakland Technical High,"2,093",62,2.96%,13,19,6,8,7,9,2015-16
Rise Community,343,10,2.92%,0,10,0,0,0,0,2015-16
American Indian Public Charter,138,4,2.90%,2,2,0,0,0,0,2015-16
Edna Brewer Middle,830,23,2.77%,0,15,2,3,2,1,2015-16
Lighthouse Community Charter High,266,7,2.63%,2,1,1,3,0,0,2015-16
Carl B. Munck Elementary,268,7,2.61%,7,0,0,0,0,0,2015-16
Franklin Elementary,830,20,2.41%,4,12,1,0,3,0,2015-16
Manzanita SEED Elementary,465,11,2.37%,3,6,0,0,0,2,2015-16
Conservatory of Vocal/Instrumental Arts,235,5,2.13%,0,4,0,0,1,0,2015-16
Coliseum College Prep Academy,486,10,2.06%,4,5,0,1,0,0,2015-16
Vincent Academy,303,6,1.98%,0,6,0,0,0,0,2015-16
Sequoia Elementary,444,8,1.80%,2,3,1,0,1,1,2015-16
MetWest High,169,3,1.78%,2,1,0,0,0,0,2015-16
Reach Academy,453,8,1.77%,5,2,0,0,0,1,2015-16
"Martin Luther King, Jr. Elementary",341,6,1.76%,0,6,0,0,0,0,2015-16
Greenleaf Elementary,635,11,1.73%,7,4,0,0,0,0,2015-16
EnCompass Academy Elementary,356,6,1.69%,1,4,1,0,0,0,2015-16
