Name,Cumulative Enrollment,Total Suspensions,Suspension Rate,Violent Incident w/ Injury,Violent Incident w/ no injury,Weapons Possession,Illicit Drug Related ,Defiance Only,Other Reasons,school_year
KIPP Bridge Academy,542,124,22.88%,35,69,1,0,19,0,2018-19
Westlake Middle,374,134,35.83%,31,77,1,4,18,3,2018-19
Oakland Charter High,473,37,7.82%,0,9,0,11,16,1,2018-19
LPS Oakland R & D Campus,505,60,11.88%,1,22,1,21,14,1,2018-19
Lighthouse Community Charter High,285,33,11.58%,2,8,1,8,13,1,2018-19
Epic Charter,330,70,21.21%,7,46,0,5,11,1,2018-19
Oakland Charter Academy,254,23,9.06%,2,6,0,3,11,1,2018-19
Elmhurst United Middle,418,71,16.99%,42,15,0,2,10,2,2018-19
Oakland High,"1,732",124,7.16%,63,39,1,5,9,7,2018-19
American Indian Public High,428,25,5.84%,0,11,1,2,9,2,2018-19
Parker Elementary,395,54,13.67%,32,11,0,0,8,3,2018-19
Lodestar: A Lighthouse Community Charter Public,560,51,9.11%,0,39,3,0,8,1,2018-19
Lighthouse Community Charter,516,86,16.67%,1,72,1,4,7,1,2018-19
Bay Area Technology,329,44,13.37%,1,27,0,7,7,2,2018-19
United for Success Academy,402,120,29.85%,22,64,7,20,6,1,2018-19
"Oakland Military Institute, College Preparatory Academy",771,148,19.20%,2,85,3,36,6,16,2018-19
West Oakland Middle,222,100,45.05%,15,67,0,9,5,4,2018-19
Aspire Golden State College Preparatory Academy,628,100,15.92%,30,28,4,31,5,2,2018-19
Greenleaf Elementary,665,28,4.21%,4,16,0,1,5,2,2018-19
Aspire Lionel Wilson College Preparatory Academy,547,164,29.98%,8,122,2,22,4,6,2018-19
Madison Park Academy 6-12,819,184,22.47%,102,49,2,24,4,3,2018-19
Aspire Triumph Technology Academy,307,55,17.92%,1,48,0,0,4,2,2018-19
Alliance Academy,345,46,13.33%,25,14,1,1,4,1,2018-19
Aspire Berkley Maynard Academy,607,46,7.58%,7,30,2,1,4,2,2018-19
American Indian Public Charter II,828,37,4.47%,20,13,0,0,4,0,2018-19
Oakland School for the Arts,763,14,1.83%,1,0,0,9,4,0,2018-19
North Oakland Community Charter,192,23,11.98%,1,18,1,0,3,0,2018-19
Futures Elementary,361,19,5.26%,9,5,0,0,3,2,2018-19
ARISE High,334,21,6.29%,0,8,0,11,2,0,2018-19
Coliseum College Prep Academy,505,23,4.55%,12,8,0,1,2,0,2018-19
Roses in Concrete,413,16,3.87%,10,4,0,0,2,0,2018-19
Melrose Leadership Academy,587,13,2.21%,1,7,0,2,2,1,2018-19
Downtown Charter Academy,309,3,0.97%,0,0,0,0,2,1,2018-19
Sankofa Academy,219,62,28.31%,34,25,1,1,1,0,2018-19
Bret Harte Middle,780,118,15.13%,56,46,5,6,1,4,2018-19
Urban Promise Academy,390,57,14.62%,20,29,0,7,1,0,2018-19
Fremont High,870,103,11.84%,34,51,2,9,1,6,2018-19
Edna Brewer Middle,819,43,5.25%,1,39,1,0,1,1,2018-19
Aspire ERES Academy,256,12,4.69%,6,4,0,0,1,1,2018-19
Oakland Unity High,365,17,4.66%,5,3,0,7,1,1,2018-19
Manzanita SEED Elementary,449,13,2.90%,3,8,0,0,1,1,2018-19
Achieve Academy,678,16,2.36%,0,10,3,2,1,0,2018-19
Kaiser Elementary,294,6,2.04%,1,3,0,0,1,1,2018-19
Franklin Elementary,729,3,0.41%,0,0,1,0,1,1,2018-19
Community Day Middle,19,10,52.63%,1,9,0,0,0,0,2018-19
Community Day High,39,17,43.59%,1,13,1,2,0,0,2018-19
Frick Middle,247,57,23.08%,15,32,3,4,0,3,2018-19
