Name,school_year,SuspensionRate
ACORN Woodland Elementary,2014-15,0.31
ACORN Woodland Elementary,2015-16,0
ACORN Woodland Elementary,2016-17,0.042
ACORN Woodland Elementary,2017-18,0
ACORN Woodland Elementary,2018-19,0
ARISE High,2014-15,*
ARISE High,2015-16,*
ARISE High,2016-17,*
ARISE High,2017-18,*
ARISE High,2018-19,*
Achieve Academy,2014-15,0
Achieve Academy,2015-16,0.11
Achieve Academy,2016-17,0.038
Achieve Academy,2017-18,0.15
Achieve Academy,2018-19,0.05
Allendale Elementary,2014-15,0
Allendale Elementary,2015-16,0
Allendale Elementary,2016-17,0
Allendale Elementary,2017-18,0.017
Allendale Elementary,2018-19,0.02
Alliance Academy,2014-15,0.23
Alliance Academy,2015-16,0.34
Alliance Academy,2016-17,0.232
Alliance Academy,2017-18,0.125
Alliance Academy,2018-19,0.12
American Indian Public Charter,2014-15,0
American Indian Public Charter,2016-17,0
American Indian Public Charter,2017-18,0.135
American Indian Public Charter,2018-19,0.1
American Indian Public Charter II,2017-18,0.046
American Indian Public Charter II,2018-19,0.03
American Indian Public High,2014-15,0
American Indian Public High,2015-16,0
American Indian Public High,2016-17,0.151
American Indian Public High,2017-18,0.099
American Indian Public High,2018-19,0.11
Aspire Berkley Maynard Academy,2014-15,0.15
Aspire Berkley Maynard Academy,2015-16,0.06
Aspire Berkley Maynard Academy,2016-17,0.072
Aspire Berkley Maynard Academy,2017-18,0.091
Aspire Berkley Maynard Academy,2018-19,0.05
Aspire College Academy,2014-15,0.18
Aspire College Academy,2015-16,0.12
Aspire College Academy,2016-17,0.127
Aspire College Academy,2017-18,0.035
Aspire College Academy,2018-19,0.06
Aspire ERES Academy,2014-15,*
Aspire ERES Academy,2015-16,*
Aspire ERES Academy,2016-17,0.083
Aspire ERES Academy,2017-18,0.5
Aspire ERES Academy,2018-19,0.15
Aspire Golden State College Preparatory Academy,2014-15,0.2
Aspire Golden State College Preparatory Academy,2015-16,0.07
Aspire Golden State College Preparatory Academy,2016-17,0.217
Aspire Golden State College Preparatory Academy,2017-18,0.126
Aspire Golden State College Preparatory Academy,2018-19,0.14
Aspire Lionel Wilson College Preparatory Academy,2014-15,0.07
Aspire Lionel Wilson College Preparatory Academy,2015-16,0.03
Aspire Lionel Wilson College Preparatory Academy,2016-17,0.083
Aspire Lionel Wilson College Preparatory Academy,2017-18,0.19
Aspire Lionel Wilson College Preparatory Academy,2018-19,0.52
Aspire Monarch Academy,2014-15,0.18
Aspire Monarch Academy,2015-16,0.18
Aspire Monarch Academy,2016-17,0
Aspire Monarch Academy,2017-18,0
Aspire Monarch Academy,2018-19,0
Aspire Triumph Technology Academy,2014-15,0.35
Aspire Triumph Technology Academy,2015-16,0.21
Aspire Triumph Technology Academy,2016-17,0.161
Aspire Triumph Technology Academy,2017-18,0.113
Aspire Triumph Technology Academy,2018-19,0.1
Bay Area Technology,2014-15,0.02
Bay Area Technology,2015-16,0.06
Bay Area Technology,2016-17,0.11
Bay Area Technology,2018-19,0.14
Bella Vista Elementary,2014-15,0.05
Bella Vista Elementary,2015-16,0.01
Bella Vista Elementary,2016-17,0.019
Bella Vista Elementary,2017-18,0.03
Bella Vista Elementary,2018-19,0.03
Bret Harte Middle,2014-15,0.2
Bret Harte Middle,2015-16,0.16
Bret Harte Middle,2016-17,0.089
Bret Harte Middle,2017-18,0.121
Bret Harte Middle,2018-19,0.21
Bridges Academy,2014-15,0
Bridges Academy,2015-16,0.08
Bridges Academy,2016-17,0.172
Bridges Academy,2017-18,0.107
Bridges Academy,2018-19,0.08
Brookfield Elementary,2014-15,0.05
Brookfield Elementary,2015-16,0.02
Brookfield Elementary,2016-17,0.115
Brookfield Elementary,2017-18,0.141
Brookfield Elementary,2018-19,0.04
Burckhalter Elementary,2014-15,0.01
Burckhalter Elementary,2015-16,0
Burckhalter Elementary,2016-17,0.025
Burckhalter Elementary,2017-18,0.014
Burckhalter Elementary,2018-19,0.01
Carl B. Munck Elementary,2014-15,0.03
Carl B. Munck Elementary,2015-16,0.03
Carl B. Munck Elementary,2016-17,0
Carl B. Munck Elementary,2017-18,0.013
Carl B. Munck Elementary,2018-19,0
Castlemont High,2014-15,0.16
Castlemont High,2015-16,0.15
Castlemont High,2016-17,0.114
