Ethnicity,CumulativeEnrollment,cumulative_suspensions,UnduplicatedCountofStudentsSuspended,SuspensionRate,PercentofStudentsSuspendedwithOneSuspension,PercentofStudentsSuspendedwithMultipleSuspensions,filename,type,grades,Address,Latitude,Longitude,AccuracyScore,AccuracyType,Number,Street,UnitType,UnitNumber,City,State,County,Zip,Country,Source,Name,total_enrollment,TotalSuspensions,total_suspension_rate,ViolentIncidentw/Injury,ViolentIncidentw/noinjury,WeaponsPossession,IllicitDrugRelated,DefianceOnly,OtherReasons,school_year
African American,26,1,1,0.038,1,0,Achieve+Academy--Oakland+Unified--0161259-0111476.csv,charter,TK-5,"1700 28th Ave, Oakland, CA 94601, USA",37.782342,-122.226161,1,rooftop,1700,28th Ave,,,Oakland,CA,Alameda County,94601,US,Alameda,Achieve Academy,777,31,0.0399,2,16,4,1,8,0,2016-17
American Indian or Alaska Native,*,*,*,*,*,*,Achieve+Academy--Oakland+Unified--0161259-0111476.csv,charter,TK-5,"1700 28th Ave, Oakland, CA 94601, USA",37.782342,-122.226161,1,rooftop,1700,28th Ave,,,Oakland,CA,Alameda County,94601,US,Alameda,Achieve Academy,777,31,0.0399,2,16,4,1,8,0,2016-17
Asian,22,1,1,0.045,1,0,Achieve+Academy--Oakland+Unified--0161259-0111476.csv,charter,TK-5,"1700 28th Ave, Oakland, CA 94601, USA",37.782342,-122.226161,1,rooftop,1700,28th Ave,,,Oakland,CA,Alameda County,94601,US,Alameda,Achieve Academy,777,31,0.0399,2,16,4,1,8,0,2016-17
Filipino,11,0,0,0,0,0,Achieve+Academy--Oakland+Unified--0161259-0111476.csv,charter,TK-5,"1700 28th Ave, Oakland, CA 94601, USA",37.782342,-122.226161,1,rooftop,1700,28th Ave,,,Oakland,CA,Alameda County,94601,US,Alameda,Achieve Academy,777,31,0.0399,2,16,4,1,8,0,2016-17
Hispanic or Latino,684,29,16,0.023,0.75,0.25,Achieve+Academy--Oakland+Unified--0161259-0111476.csv,charter,TK-5,"1700 28th Ave, Oakland, CA 94601, USA",37.782342,-122.226161,1,rooftop,1700,28th Ave,,,Oakland,CA,Alameda County,94601,US,Alameda,Achieve Academy,777,31,0.0399,2,16,4,1,8,0,2016-17
Pacific Islander,*,*,*,*,*,*,Achieve+Academy--Oakland+Unified--0161259-0111476.csv,charter,TK-5,"1700 28th Ave, Oakland, CA 94601, USA",37.782342,-122.226161,1,rooftop,1700,28th Ave,,,Oakland,CA,Alameda County,94601,US,Alameda,Achieve Academy,777,31,0.0399,2,16,4,1,8,0,2016-17
White,23,0,0,0,0,0,Achieve+Academy--Oakland+Unified--0161259-0111476.csv,charter,TK-5,"1700 28th Ave, Oakland, CA 94601, USA",37.782342,-122.226161,1,rooftop,1700,28th Ave,,,Oakland,CA,Alameda County,94601,US,Alameda,Achieve Academy,777,31,0.0399,2,16,4,1,8,0,2016-17
Two or More Races,*,*,*,*,*,*,Achieve+Academy--Oakland+Unified--0161259-0111476.csv,charter,TK-5,"1700 28th Ave, Oakland, CA 94601, USA",37.782342,-122.226161,1,rooftop,1700,28th Ave,,,Oakland,CA,Alameda County,94601,US,Alameda,Achieve Academy,777,31,0.0399,2,16,4,1,8,0,2016-17
Not Reported,*,*,*,*,*,*,Achieve+Academy--Oakland+Unified--0161259-0111476.csv,charter,TK-5,"1700 28th Ave, Oakland, CA 94601, USA",37.782342,-122.226161,1,rooftop,1700,28th Ave,,,Oakland,CA,Alameda County,94601,US,Alameda,Achieve Academy,777,31,0.0399,2,16,4,1,8,0,2016-17
African American,24,1,1,0.042,1,0,ACORN+Woodland+Eleme--Oakland+Unified--0161259-6002273.csv,public,K-5,"1025 81st Ave, Oakland, CA 94621, USA",37.753182,-122.185778,1,range_interpolation,1025,81st Ave,,,Oakland,CA,Alameda County,94621,US,TIGER/Line® dataset from the US Census Bureau,ACORN Woodland Elementary,315,4,0.0127,3,1,0,0,0,0,2016-17
